
DESKTOP24

"Nazwa komputera:","DESKTOP24"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L1 Data"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Parity"
"Maksymalny rozmiar pamiêci podrêcznej:","384 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","384 KB"
"Powi¹zanie pamiêci podrêcznej:","12-way Set-Associative"

Pamiêæ podrêczna L1

"Oznaczenie gniazda:","L1 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L1 Instruction"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Parity"
"Maksymalny rozmiar pamiêci podrêcznej:","256 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","256 KB"
"Powi¹zanie pamiêci podrêcznej:","8-way Set-Associative"

Pamiêæ podrêczna L2

"Oznaczenie gniazda:","L2 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L2 Unified"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Single-bit ECC"
"Maksymalny rozmiar pamiêci podrêcznej:","16384 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","16384 KB"
"Powi¹zanie pamiêci podrêcznej:","16-way Set-Associative"

Pamiêæ podrêczna L3

"Oznaczenie gniazda:","L3 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L3 Unified"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Multi-bit ECC"
"Maksymalny rozmiar pamiêci podrêcznej:","33792 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","33792 KB"
"Powi¹zanie pamiêci podrêcznej:","Unknown"

Pamiêæ podrêczna L1

"Oznaczenie gniazda:","L1 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L1 Data"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Parity"
"Maksymalny rozmiar pamiêci podrêcznej:","384 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","384 KB"
"Powi¹zanie pamiêci podrêcznej:","8-way Set-Associative"

Pamiêæ podrêczna L1

"Oznaczenie gniazda:","L1 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L1 Instruction"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Parity"
"Maksymalny rozmiar pamiêci podrêcznej:","768 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","768 KB"
"Powi¹zanie pamiêci podrêcznej:","8-way Set-Associative"

Pamiêæ podrêczna L2

"Oznaczenie gniazda:","L2 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L2 Unified"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Single-bit ECC"
"Maksymalny rozmiar pamiêci podrêcznej:","12288 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","12288 KB"
"Powi¹zanie pamiêci podrêcznej:","16-way Set-Associative"

Pamiêæ podrêczna L3

"Oznaczenie gniazda:","L3 Cache"
"Stan pamiêci podrêcznej:","W³¹czony"
"Lokalizacja pamiêci podrêcznej:","Wewnêtrzny"
"Typ pamiêci podrêcznej:","L3 Unified"
"Schemat pamiêci podrêcznej:","Write-Back"
"Obs³ugiwany typ pamiêci SRAM:","Synchronous"
"Aktualny typ SRAM:","Synchronous"
"Szybkoœæ pamiêci podrêcznej:","Unknown"
"Type korekcji b³êdów:","Multi-bit ECC"
"Maksymalny rozmiar pamiêci podrêcznej:","33792 KB"
"Rozmiar zainstalowanej pamiêci podrêcznej:","33792 KB"
"Powi¹zanie pamiêci podrêcznej:","Unknown"

Procesora

"Producent procesora:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i7-14700KF"
"Czêstotliwoœæ zewnêtrzna:","100 MHz"
"Maksymalna obs³ugiwana czêstotliwoœæ:","8500 MHz"
"Aktualna czêstotliwoœæ:","792 MHz"
"Gniazdo procesora:","Zape³nione"
"Stan procesora:","W³¹czony"
"Typ procesora:","Procesor centralny"
"Napiêcie procesora:","0.7 V"
"Aktualizacja procesora:","Socket LGA1700"
"Oznaczenie gniazda:","CPUSocket"

Intel AMT

"Obs³uga technologii Intel AMT:","Nieobs³ugiwany"

Intel vPro

"CPU VT-x Support:","Utrzymany"
"CPU VT-x Status:","W³¹czony"
"CPU VT-x2 Support:","Nieobs³ugiwany"
"CPU VT-x2 Status:","Wy³¹czony"
"CPU TXT Support:","Nieobs³ugiwany"
"CPU TXT Status:","Wy³¹czony"
"CPU VMX Status:","W³¹czony"
"CPU SMX Status:","Wy³¹czony"
"Intel ME Status:","W³¹czony"
"Intel OST Firmware Support:","Nieobs³ugiwany"
"Intel ASF Firmware Support:","Nieobs³ugiwany"
"Intel AMT Pro Firmware Support:","Nieobs³ugiwany"
"Intel AMT Basic Firmware Support:","Nieobs³ugiwany"
"Intel TPM Firmware Support:","Utrzymany"
"Intel Castle Peak Support:","Nieobs³ugiwany"
"Intel WoX Support:","Nieobs³ugiwany"
"Intel Virtualization Engine Support:","Nieobs³ugiwany"
"Intel Anti-Theft Technology Support:","Nieobs³ugiwany"
"TPM On-board:","Nieobs³ugiwany"
"Intel Anti-Theft Technology Enrolled:","Utrzymany"
"Intel ME Version:","v16.1, Build 2264, Hotfix 30"
"BIOS VT-x Support:","Nieobs³ugiwany"
"BIOS VT-d Support:","Utrzymany"
"BIOS TXT Support:","Nieobs³ugiwany"
"BIOS TPM Support:","Nieobs³ugiwany"
"BIOS ME Support:","Nieobs³ugiwany"
"BIOS VA Extensions Support:","Utrzymany"
"Intel AT PBA For Recovery Support:","Nieobs³ugiwany"
"Intel AT WWAN Support:","Nieobs³ugiwany"

Group Associations


Urz¹dzenia pamiêci


Fizyczna tablica pamiêci

"Lokalizacja tablicy:","System board"
"Wykorzystanie tablicy:","System memory"
"Metoda wykrywania b³êdów:","Nic"
"Pojemnoœæ pamiêci:","128 GB"
"Urz¹dzenia pamiêci:","4"

Urz¹dzenie pamiêci

"Ca³kowita szerokoœæ:","0 bits"
"Szerokoœæ danych:","0 bits"
"Rozmiar urz¹dzenia:","0 MB"
"Wspó³czynnik kszta³tu urz¹dzenia:","DIMM"
"Lokalizator urz¹dzeñ:","Controller0-ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Typ urz¹dzenia:","Unknown"
"Szczegó³y typu urz¹dzenia:",""
"Producent:",""
"Numer seryjny:",""
"Numer czêœci:",""
"Asset Tag:",""

Urz¹dzenie pamiêci

"Ca³kowita szerokoœæ:","64 bits"
"Szerokoœæ danych:","64 bits"
"Rozmiar urz¹dzenia:","32768 MB"
"Wspó³czynnik kszta³tu urz¹dzenia:","DIMM"
"Lokalizator urz¹dzeñ:","Controller0-ChannelA-DIMM1"
"Bank Locator:","BANK 0"
"Typ urz¹dzenia:","DDR5"
"Szczegó³y typu urz¹dzenia:","Synchronous"
"Szybkoœæ pamiêci:","4800 MT/s"
"Configured Memory Speed:","4800 MT/s"
"Producent:","Corsair"
"Numer seryjny:","00000000"
"Numer czêœci:","CMH64GX5M2B6000Z30  "
"Asset Tag:","9876543210"
"Volatile Size:","32 GB"

Urz¹dzenie pamiêci

"Ca³kowita szerokoœæ:","0 bits"
"Szerokoœæ danych:","0 bits"
"Rozmiar urz¹dzenia:","0 MB"
"Wspó³czynnik kszta³tu urz¹dzenia:","DIMM"
"Lokalizator urz¹dzeñ:","Controller1-ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Typ urz¹dzenia:","Unknown"
"Szczegó³y typu urz¹dzenia:",""
"Producent:",""
"Numer seryjny:",""
"Numer czêœci:",""
"Asset Tag:",""

Urz¹dzenie pamiêci

"Ca³kowita szerokoœæ:","64 bits"
"Szerokoœæ danych:","64 bits"
"Rozmiar urz¹dzenia:","32768 MB"
"Wspó³czynnik kszta³tu urz¹dzenia:","DIMM"
"Lokalizator urz¹dzeñ:","Controller1-ChannelA-DIMM1"
"Bank Locator:","BANK 0"
"Typ urz¹dzenia:","DDR5"
"Szczegó³y typu urz¹dzenia:","Synchronous"
"Szybkoœæ pamiêci:","4800 MT/s"
"Configured Memory Speed:","4800 MT/s"
"Producent:","Corsair"
"Numer seryjny:","00000000"
"Numer czêœci:","CMH64GX5M2B6000Z30  "
"Asset Tag:","9876543210"
"Volatile Size:","32 GB"

Memory Array Mapped Address

"Adres pocz¹tkowy:","00000000"
"Adres koñcowy:","03FFFFFF"
"Szerokoœæ partycji:","2"

Memory Device Mapped Address

"Adres pocz¹tkowy:","00000000"
"Adres koñcowy:","01FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","1"
"Interleave Data Depth:","2"

Memory Device Mapped Address

"Adres pocz¹tkowy:","02000000"
"Adres koñcowy:","03FFFFFF"
"Partition Row Position:","1"
"Interleave Position:","2"
"Interleave Data Depth:","2"

Gniazda systemowe


Slot1

"Oznaczenie slotu:","Slot1"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","W u¿yciu"
"Szerokoœæ szyny danych gniazda:","16x / x16"
"D³ugoœæ szczeliny:","D³ugo"
"Base Segment:Bus:Device:Function Number:","0:1:0:0"

Slot2

"Oznaczenie slotu:","Slot2"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","Pusty"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:28:0:2"

Slot3

"Oznaczenie slotu:","Slot3"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","Pusty"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:28:0:4"

M2_1

"Oznaczenie slotu:","M2_1"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","Pusty"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:6:0:0"

M2_2

"Oznaczenie slotu:","M2_2"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","W u¿yciu"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:2:0:0"

M2_3

"Oznaczenie slotu:","M2_3"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","W u¿yciu"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:3:0:0"

M2_4

"Oznaczenie slotu:","M2_4"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","W u¿yciu"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:6:0:0"

M2_5

"Oznaczenie slotu:","M2_5"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","Pusty"
"Szerokoœæ szyny danych gniazda:","4x / x4"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:27:0:4"

M2_Wifi

"Oznaczenie slotu:","M2_Wifi"
"Typ slotu:","PCI Express"
"Wykorzystanie slotu:","W u¿yciu"
"Szerokoœæ szyny danych gniazda:","1x / x1"
"D³ugoœæ szczeliny:","Niski"
"Base Segment:Bus:Device:Function Number:","0:5:0:0"

Intel ME

"ME Current Working State:","Normal"
"Manufacturing Mode:","Active"
"ME Current Operation Mode:","Normal"
"Boot Guard Status:","W³¹czony"
"Boot Guard Verified Boot Policy:","Wy³¹czony"
"Boot Guard Measured Boot Policy:","Wy³¹czony"
"Intel ME Version:","16.1, Build 2264, Hot Fix 30"
"Intel ME Recovery Image Version:","16.1, Build 2264, Hot Fix 30"
"Intel ME FITC Version:","16.1, Build 2264, Hot Fix 30"
"Full Network Manageability:","Niezdolny"
"Standard Network Manageability:","Niezdolny"
"Manageability (AMT):","Niezdolny"
"Remote Wake Technology:","Niezdolny"
"Manageability Upgrade:","Niezdolny"
"Intel Anti-Theft:","Niezdolny"
"Capability Licensing Service:","Niezdolny"
"Virtualization Engine:","Niezdolny"
"Intel Sensor Hub (ISH):","Niezdolny"
"ICC Over Clocking:","Niezdolny"
"Protected Audio Video Path (PAVP):","Niezdolny"
"Network Frame Forwarder (NFF):","Niezdolny"
"Remote PC Assist (RPAT):","Zdolny"
"IPV6:","Niezdolny"
"KVM Remote Control:","Niezdolny"
"Outbreak Containment Heuristic (OCH):","Niezdolny"
"Dynamic Application Loader (DAL):","Zdolny"
"Cipher Transport Layer (TLS):","Zdolny"
"Wireless LAN (WLAN):","Niezdolny"
"Platform Trust Technology (PTT):","Zdolny"
"Near Field Communication (NFC):","Niezdolny"
"Full Network Manageability:","Wy³¹czony"
"Standard Network Manageability:","Wy³¹czony"
"Manageability (AMT):","Wy³¹czony"
"Small Business Advantage:","Niezdolny"
"MEI3:","Niezdolny"
"Intel Anti-Theft:","Wy³¹czony"
"Capability Licensing Service:","Wy³¹czony"
"Virtualization Engine:","Wy³¹czony"
"Intel Sensor Hub (ISH):","Wy³¹czony"
"ICC Over Clocking:","Wy³¹czony"
"Protected Audio Video Path (PAVP):","Wy³¹czony"
"Network Frame Forwarder (NFF):","Niezdolny"
"Remote PC Assist (RPAT):","W³¹czony"
"IPV6:","Wy³¹czony"
"KVM Remote Control:","Wy³¹czony"
"Outbreak Containment Heuristic (OCH):","Wy³¹czony"
"Dynamic Application Loader (DAL):","Zdolny"
"Cipher Transport Layer (TLS):","W³¹czony"
"Wireless LAN (WLAN):","Wy³¹czony"
"Platform Trust Technology (PTT):","W³¹czony"
"Near Field Communication (NFC):","Wy³¹czony"
"Platform Target Usage Type:","Desktop"
"SKU:","Regular SKU"
"ME Firmware Image Type:","Consumer SKU Firmware"
"Platform Brand:","None"
"Host ME Region Flash Protection Override (HMRFPO) Status:","Disabled"

Pamiêæ

"Ca³kowity rozmiar pamiêci:","64 GB"
"Total Memory Size [MB]:","65536"
"Aktualna czêstotliwoœæ pamiêci:","2394.1 MHz"
"Aktualny taktowanie (tCAS-tRCD-tRP-tRAS):","40-40-40-76"
"Obs³ugiwane kana³y pamiêci:","4"
"Aktywne kana³y pamiêci:","4"
"Szybkoœæ poleceñ (CR):","2T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","12T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","8T"
"Read to Read Delay (tRDRD_SD) Same DIMM:","14T"
"Read to Read Delay (tRDRD_DD) Different DIMM:","14T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","26T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","8T"
"Write to Write Delay (tWRWR_SD) Same DIMM:","14T"
"Write to Write Delay (tWRWR_DD) Different DIMM:","14T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","18T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","18T"
"Read to Write Delay (tRDWR_SD) Same DIMM:","20T"
"Read to Write Delay (tRDWR_DD) Different DIMM:","20T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","72T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","54T"
"Write to Read Delay (tWRRD_SD) Same DIMM:","12T"
"Write to Read Delay (tWRRD_DD) Different DIMM:","12T"
"Read to Precharge Delay (tRTP):","17T"
"Write to Precharge Delay (tWTP):","82T"
"Write Recovery Time (tWR):","71T"
"RAS# to RAS# Delay (tRRD_L):","12T"
"RAS# to RAS# Delay (tRRD_S):","8T"
"Row Cycle Time (tRC):","116T"
"Refresh Cycle Time (tRFC):","383T"
"Four Activate Window (tFAW):","32T"

Wiersz: 1 [BANK 0/Controller0-ChannelA-DIMM1] - 32 GB PC5-48000 DDR5 SDRAM Corsair CMH64GX5M2B6000Z30

"Numer modu³u:","1"
"Rozmiar modu³u:","32 GB"
"Typ pamiêci:","DDR5 SDRAM"
"Typ modu³u:","Unbuffered DIMM (UDIMM)"
"Szybkoœæ pamiêci:","3000.0 MHz (DDR5-6000 / PC5-48000)"
"Producent modu³u:","Corsair"
"Numer czêœci modu³u:","CMH64GX5M2B6000Z30"
"Wersja modu³u:","0.0"
"Numer seryjny modu³u:","N/A"
"Data produkcji modu³u:","Rok: 2025, Tydzieñ: 11"
"Lokalizacja produkcji modu³u:","0"
"Producent pamiêci SDRAM:","SK Hynix"
"DRAM Steppping:","M-Die (4.D)"
"Sprawdzanie/korekta b³êdów:","Nic"
"Rank Mix:","Symetryczny"
"Bity adresu wiersza:","16"
"Bity adresu kolumny:","10"
"Gêstoœæ modu³u:","16384 Mb"
"Dies Per Package:","1"
"Szerokoœæ urz¹dzenia:","x8"
"Liczba grup bankowych:","8"
"Banki na grupê:","4"
"Liczba stopni:","2"
"Szerokoœæ urz¹dzenia modu³u:","x4"
"Kana³y na modu³ DIMM:","x2"
"Szerokoœæ magistrali g³ównej:","x32"
"Rozszerzenie magistrali:","Nic"
"Napiêcie modu³u (VDD):","Nominalny: 1.1V, Wykonalny: 1.1V, Wytrzyma³y: 1.1V"
"Napiêcie modu³u (VDDQ):","Nominalny: 1.1V, Wykonalny: 1.1V, Wytrzyma³y: 1.1V"
"Napiêcie modu³u (VPP):","Nominalny: 1.8V, Wykonalny: 1.8V, Wytrzyma³y: 1.8V"
"Wide Temperature Sense:","Nieobs³ugiwany"
"Bounded Fault:","Nieobs³ugiwany"
"BL32:","Nieobs³ugiwany"
"Non-Standard Core Timings:","Nieobs³ugiwany"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.41600 ns (2400 MHz)"
"Maksymalny czas cyklu SDRAM (tCKAVGmax):","1.01000 ns"
"Obs³ugiwane opóŸnienia CAS#:","22, 28, 30, 32, 36, 40, 42"
"Minimalny czas opóŸnienia CAS# (tAAmin):","16.666 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","16.666 ns"
"Minimum Row Precharge Time (tRPmin):","16.666 ns"
"Minimum Active to Precharge Time (tRASmin):","32.000 ns"
"Obs³ugiwane taktowanie modu³u przy 2400.0 MHz:","40-40-40-77"
"Obs³ugiwane taktowanie modu³u przy 1800.0 MHz:","30-30-30-58"
"Obs³ugiwane taktowanie modu³u przy 1600.0 MHz:","28-27-27-52"
"Minimum Active to Active/Refresh Time (tRCmin):","48.666 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsbmin):","130.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC1dlrmin):","0.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2dlrmin):","0.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsbdlrmin):","0.000 ns"
"Activate to Activate Command Delay for Same Bank Group (tRRD_L):","5.000 ns"
"Read to Read Command Delay for Same Bank Group (tCCD_L):","5.000 ns"
"Write to Write Command Delay for Same Bank Group (tCCD_L_WR):","20.000 ns"
"Write to Write Command Delay for Same Bank Group, Second Write not RMW (tCCD_L_WR2):","10.000 ns"
"Four Activate Window (tFAW):","13.333 ns"
"Write to Read Command Delay for Same Bank Group (tCCD_L_WTR):","10.000 ns"
"Write to Read Command Delay for Different Bank Group (tCCD_S_WTR):","2.500 ns"
"Read to Precharge Command Delay (tRTP):","7.500 ns"
"SPD Producent:","Montage Technology Group"
"SPD Type:","SPD5118"
"SPD Steppping:","0.A"
"PMIC0 Device:","Obecny"
"PMIC0 Producent:","Richtek Power"
"PMIC0 Typ urz¹dzenia:","PMIC5100"
"PMIC0 Stepping:","1.2"
"PMIC0 Type:","Small PMIC (Low Current)"
"PMIC0 Secure Mode:","Wy³¹czony"
"Czujnik termiczny 0:","Nieobecny"
"Czujnik termiczny 1:","Nieobecny"
"Klasa temperatury DRAM:","Extended (XT) : 0 - 95 C"
"Rozpraszacz ciep³a:","Obecny"
"Vin_bulk Fuse:","Nieobecny"
"Vin_bulk Transient Voltage Suppression (TVS):","Nieobecny"
"Vin_mgmt Transient Voltage Suppression (TVS):","Nieobecny"
"Wysokoœæ nominalna modu³u:","44 - 45 mm"
"Maksymalna gruboœæ modu³u (przód):","3 - 4 mm"
"Maksymalna gruboœæ modu³u (ty³):","3 - 4 mm"
"XMP Version:","3.0"
"XMP Revision:","1.2"
"Number of PMICs:","1"
"XMP(OC) PMIC:","Nieobs³ugiwany"
"PMIC OC:","Wy³¹czony"
"PMIC Voltage Default Step Size:","5 mV"
"OC Global Reset Function:","Nieobs³ugiwany"
"Nazwa profilu:","Profile 1"
"Zalecana konfiguracja kana³u:","1 DIMM per Channel"
"Poziom napiêcia modu³u VDD:","1.40 V"
"Poziom napiêcia modu³u VPP:","1.80 V"
"Poziom napiêcia modu³u VDDQ:","1.40 V"
"Poziom napiêcia kontrolera pamiêci:","1.20 V"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.33300 ns (3000 MHz)"
"Obs³ugiwane opóŸnienia CAS#:","22, 26, 28, 30, 32, 36, 40, 42, 46, 48, 50, 54"
"Minimalny czas opóŸnienia CAS# (tAAmin):","9.990 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","11.988 ns"
"Minimum Row Precharge Time (tRPmin):","11.988 ns"
"Minimum Active to Precharge Time (tRASmin):","25.308 ns"
"Obs³ugiwane taktowanie modu³u przy 3000.0 MHz:","30-36-36-76"
"Obs³ugiwane taktowanie modu³u przy 2800.0 MHz:","28-34-34-71"
"Obs³ugiwane taktowanie modu³u przy 2600.0 MHz:","26-32-32-66"
"Obs³ugiwane taktowanie modu³u przy 2200.0 MHz:","22-27-27-56"
"Minimum Active to Active/Refresh Time (tRCmin):","37.296 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsb):","130.000 ns"
"Minimum Minimum Write Recovery Time (tWRmin):","30.000 ns"
"Tryb szybkoœci poleceñ systemu:","2N"
"Podkrêcanie czêstotliwoœci pamiêci w czasie rzeczywistym:","Utrzymany"
"Intel Dynamic Memory Boost:","Utrzymany"
"Minimum Read to Read Command Delay Time, Same Bank Group (tCCD_Lmin):","5.000 ns"
"Minimum Write to Write Command Delay Time, Same Bank Group (tCCD_L_WRmin):","20.000 ns"
"Minimum Write to Write Command Delay Time, Second Write not RMW, Same Bank Group (tCCD_L_WR2min):","10.000 ns"
"Minimum Write to Read Command Delay Time, Same Bank Group (tCCD_L_WTRmin):","10.000 ns"
"Minimum Write to Read Command Delay Time, Different Bank Group (tCCD_S_WTRmin):","2.500 ns"
"Minimum Active to Active Command Delay Time, Same Bank Group (tRRD_Lmin):","5.000 ns"
"Minimum Read to Precharge Command Delay Time (tRTPmin):","7.500 ns"
"Minimum Four Activate Window (tFAWmin):","10.666 ns"
"EXPO Version:","1.0"
"PMIC Voltage Step Size:","5 mV"
"DIMMs per Channel:","1"
"Poziom napiêcia modu³u VDD:","1.40 V"
"Poziom napiêcia modu³u VDDQ:","1.40 V"
"Poziom napiêcia modu³u VPP:","1.80 V"
"Minimalny czas cyklu SDRAM (tCKAVGmin):","0.33300 ns (3000 MHz)"
"Minimalny czas opóŸnienia CAS# (tAAmin):","9.990 ns"
"Minimalne opóŸnienie RAS# do CAS# (tRCDmin):","11.988 ns"
"Minimum Row Precharge Time (tRPmin):","11.988 ns"
"Minimum Active to Precharge Time (tRASmin):","25.308 ns"
"Obs³ugiwane taktowanie modu³u przy 3000.0 MHz:","30-36-36-76"
"Obs³ugiwane taktowanie modu³u przy 2800.0 MHz:","28-34-34-71"
"Obs³ugiwane taktowanie modu³u przy 2200.0 MHz:","22-27-27-56"
"Minimum Active to Active/Refresh Time (tRCmin):","37.296 ns"
"Minimum Refresh Recovery Time Delay (tRFC1min):","295.000 ns"
"Minimum Refresh Recovery Time Delay (tRFC2min):","160.000 ns"
"Minimum Refresh Recovery Time Delay (tRFCsb):","130.000 ns"
"Minimum Minimum Write Recovery Time (tWRmin):","30.000 ns"

Wiersz: 3 [BANK 0/Controller1-ChannelA-DIMM1] - 32 GB PC5-48000 DDR5 SDRAM Corsair CMH64GX5M2B6000Z30

"Numer modu³u:","3"
"Rozmiar modu³u:","32 GB"
"Typ pamiêci:","DDR5 SDRAM"
"Typ modu³u:","Unbuffered DIMM (UDIMM)"
"Szybkoœæ pamiêci:","3000.0 MHz (DDR5-6000 / PC5-48000)"
"Producent modu³u:","Corsair"
"Numer czêœci modu³u:","CMH64GX5M2B6000Z30"
"Wersja modu³u:","0.0"
"Numer seryjny modu³u:","N/A"
"Data produkcji modu³u:","Rok: 2025, Tydzieñ: 11"
"Lokalizacja produkcji modu³u:","0"
"Producent pamiêci SDRAM:","SK Hynix"
"DRAM Steppping:","M-Die (4.D)"
"Sprawdzanie/korekta b³êdów:","Nic"
"Rank Mix:","Symetryczny"
"Bity adresu wiersza:","16"
"Bity adresu kolumny:","10"
"Gêstoœæ modu³u:","16384 Mb"
"Dies Per Package:","1"
"Szerokoœæ urz¹dzenia:","x8"
"Liczba grup bankowych:","8"
"Banki na grupê:","4"
"Liczba stopni:","2"
"Szerokoœæ urz¹dzenia modu³u:","x4"
"Kana³y na modu³ DIMM:","x2"
"Szerokoœæ magistrali g³ównej:","x32"
"Rozszerzenie magistrali:","Nic"
"Napiêcie modu³u (VDD):","Nominalny: 1.1V, Wykonalny: 1.1V, Wytrzyma³y: 1.1V"
"Napiêcie modu³u (VDDQ):","Nominalny: 1.1V, Wykonalny: 1.1V, Wytrzyma³y: 1.1V"
"Napiêcie modu³u (VPP):","Nominalny: 1.8V, Wykonalny: 1.8V, Wytrzyma³y: 1.8V"
"Wide Temperature Sense:","Nieobs³ugiwany"
"Bounded Fault:","Nieobs³ugiwany"
"BL32:","Nieobs³ugiwany"
